text,brand,sentiment,ecosystem
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive,Google
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},Unknown,Neutral,Unknown
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",Google,Neutral,Google
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive,Google
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive,Apple
I worship @mention {link} #SXSW,Unknown,Neutral,Unknown
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",Apple,Neutral,Apple
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",Unknown,Neutral,Unknown
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive,Apple
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive,Apple
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,Apple,Neutral,Apple
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive,Apple
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive,Google
Stay tune @mention showcase #H4ckers {link} #SXSW,Unknown,Neutral,Unknown
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},Unknown,Neutral,Unknown
Thank you @mention for an awesome #sxsw party! {link},Unknown,Neutral,Unknown
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",Unknown,Neutral,Unknown
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive,Apple
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,Unknown,Neutral,Unknown
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,Unknown,Neutral,Unknown
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative,Apple
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,Apple,Neutral,Apple
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,Unknown,Neutral,Unknown
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive,Apple
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive,Apple
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",Unknown,Neutral,Unknown
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive,Google
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,Google,Neutral,Google
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",Google,Neutral,Google
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive,Apple
ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,Apple,Neutral,Apple
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Apple,Negative,Apple
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive,Google
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",Google,Neutral,Google
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive,Google
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",Google,Neutral,Google
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},Apple,Neutral,Apple
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive,Apple
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,Apple,Neutral,Apple
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive,Apple
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Google,Positive,Google
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",Apple,Neutral,Apple
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive,Apple
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",Apple,Neutral,Apple
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive,Apple
"At #SXSW, #Apple schools the marketing experts {link}",Apple,Neutral,Apple
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive,Apple
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive,Apple
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive,Apple
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive,Apple
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",Unknown,Neutral,Unknown
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,Apple,Neutral,Apple
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive,Apple
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,Apple,Neutral,Apple
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive,Apple
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive,Apple
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive,Apple
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",Google,Neutral,Google
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",Unknown,Neutral,Unknown
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,Google,Positive,Google
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,Google,Neutral,Google
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",Apple,Neutral,Apple
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",Apple,Neutral,Apple
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive,Apple
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive,Apple
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,Google,Neutral,Google
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,Apple,Neutral,Apple
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,Apple,Neutral,Apple
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},Apple,Neutral,Apple
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,Apple,Neutral,Apple
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive,Apple
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive,Apple
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,Apple,Neutral,Apple
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,Positive,Apple
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive,Apple
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,Apple,Neutral,Apple
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,Apple,Neutral,Apple
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,Positive,Apple
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,Positive,Apple
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive,Apple
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,Google,Neutral,Google
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,Apple,Neutral,Apple
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,Apple,Neutral,Apple
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,Apple,Neutral,Apple
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,Positive,Apple
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,Apple,Positive,Apple
"More free #SXSW mp3 downloads, this time from iTunes: {link}",Apple,Neutral,Apple
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,Google,Neutral,Google
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,Google,Neutral,Google
The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive,Apple
Essential #sxsw tools: {link},Unknown,Neutral,Unknown
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive,Google
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",Google,Neutral,Google
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,Apple,Neutral,Apple
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive,Apple
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),Apple,Neutral,Apple
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive,Google
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,Apple,Neutral,Apple
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,Negative,Apple
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive,Apple
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative,Apple
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive,Apple
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,Positive,Apple
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},Unknown,Neutral,Unknown
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,Apple,Neutral,Apple
This is a #WINNING picture #android #google #sxsw {link},Android,Positive,Google
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,Google,Neutral,Google
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},Google,Neutral,Google
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,Negative,Apple
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},Google,Neutral,Google
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,Positive,Apple
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,Positive,Apple
.@mention 1154 free songs from #SXSW (this year alone!) {link},Unknown,Neutral,Unknown
more than 150 million mobile users for Google Maps for Mobile #SXSW,Google,Neutral,Google
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,Apple,Neutral,Apple
"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",Apple,Neutral,Apple
÷¼ We love 2 entertain youÛ_Please donÛªt be grateful! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Unknown,Neutral,Unknown
Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,Apple,Neutral,Apple
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,Negative,Apple
(The iPad 2 queue at #sxsw of course,Apple,Neutral,Apple
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive,Apple
many iPad 2's snapping away at the keynote slides! #sxsw,iPad,Positive,Apple
Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,Apple,Neutral,Apple
Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,Google,Neutral,Google
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,Positive,Apple
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},Apple,Neutral,Apple
sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,Positive,Google
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,Positive,Google
rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ÛÒ about 250 people! Only one more hour. ' #sxsw,Apple,Neutral,Apple
"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",Apple,Neutral,Apple
"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",Google,Neutral,Google
#SXSW day 5 at the #apple store and there's still a line...and growing {link},Apple,Positive,Apple
"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}",Unknown,Neutral,Unknown
"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",Apple,Neutral,Apple
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,Positive,Google
We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,Google,Neutral,Google
"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",Apple,Neutral,Apple
ÛÏ@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on,Google,Neutral,Google
"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",Apple,Neutral,Apple
if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,Positive,Apple
"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",Apple,Neutral,Apple
Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,Apple,Neutral,Apple
Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,Positive,Apple
"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Google,Neutral,Google
"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",Apple,Neutral,Apple
"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,Positive,Google
HOBO WITH A SHOTGUN iPhone game {link} #sxsw,Apple,Neutral,Apple
Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,Positive,Apple
build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,Positive,Apple
Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,Apple,Neutral,Apple
Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2,Apple,Neutral,Apple
Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,Positive,Apple
Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link},Google,Neutral,Google
"google is about search, but local' marissa mayer #sxsw",Google,Neutral,Google
Wondering about street closures during SXSW? We made a Google Map to show you: {link} #sxsw #austin,Google,Neutral,Google
Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,Google,Neutral,Google
Questions about what's inside the iPad 2? Fire them my way. #sxsw,Apple,Neutral,Apple
Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,Apple,Neutral,Apple
Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link},Apple,Neutral,Apple
Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW,Apple,Neutral,Apple
Spent the aftrnoon on a frozen lake photographing my brother Scott &amp; the @mention team. Catch them at #SXSW ths weeknd.  {link},Unknown,Neutral,Unknown
"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",iPhone,Negative,Apple
Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,Positive,Apple
"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",Google,Neutral,Google
